Station_ID,Station Longitude (°E),Station Latitude (°N),Event Date,Event Mag,Event Longitude (°E),Event Latitude (°N),Event Depth (km),Distance (km),dE1 [mm],dN1 [mm],dH1 [mm],dE2 [mm],dN2 [mm],dH2 [mm]
ANK2,32.775,39.843,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,475,-7.9,0.1,-1.9,-8.3,0.4,-2.1
ARUC,44.086,40.286,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,704,2.9,-1.1,-0.6,2.7,-1.2,-0.5
BSHM,35.02,32.779,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,521,1.8,10.9,3.7,1.9,10.8,3.7
DRAG,35.392,31.593,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,637,1.2,7.8,2.8,1.2,7.8,2.8
DYNG,23.932,38.079,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1160,-2.5,0.3,-0.9,-2.5,0.3,-0.9
HAMD,48.534,34.869,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1067,2.9,-0.4,-1.1,2.9,-0.4,-1.1
ISBA,44.438,33.341,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,796,3.9,-0.6,-1.3,4.0,-0.7,-1.3
ISTA,29.019,41.104,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,818,-3.2,0.3,-1.0,-3.3,0.4,-1.0
IZMI,27.082,38.395,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,886,-4.2,0.6,-1.5,-4.2,0.6,-1.5
KHAR,36.239,50.005,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1427,-0.1,-1.5,0.6,-0.1,-1.5,0.6
KRS1,43.093,40.588,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,648,2.2,-2.0,-0.1,2.1,-2.1,0.0
MERS,34.356,36.566,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,248,-42.7,2.7,-11.9,-38.7,3.6,-10.8
MIKL,31.973,46.973,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1166,-0.2,-1.6,0.6,-0.3,-1.6,0.5
NICO,33.396,35.141,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,397,-7.1,4.5,-1.2,5607.2,-7064.4,3275.5
ORID,20.794,41.127,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1468,-1.4,0.2,-0.5,-1.4,0.2,-0.5
POLV,34.543,49.603,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1396,-0.1,-1.5,0.6,-0.1,-1.5,0.6
RAMO,34.763,30.598,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,758,0.8,5.4,1.9,0.9,5.4,2.0
SOFI,23.395,42.556,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1309,-1.4,0.2,-0.5,-1.4,0.2,-0.5
TEHN,51.334,35.697,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1292,2.0,-0.2,-0.7,2.0,-0.2,-0.7
TUBI,29.451,40.787,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,769,-3.8,0.4,-1.2,-3.9,0.5,-1.2
ZECK,41.565,43.788,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,829,-0.5,-3.7,1.4,-0.6,-3.7,1.4
